JUNIO 2021;;;;;;;;
LABORATORIO TITULAR;N° CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTA  CION;ACCION TERAPEUTICA/ INDICACIONES ;OBSERVACIONES
LABORATORIO INTERNACIONAL ARGENTINO S.A.;47206;DRIMNORTH;MIDAZOLAM;15 MG/ 3 ML;SOLUCIÓN INYECTABLE;25 AMPOLLAS X 15 MG/3ML;HIPNOTICO         SEDANTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO INTERNACIONAL ARGENTINO S.A.;50534;FADA MIDAZOLAM;MIDAZOLAM;15 MG/ 3 ML;SOLUCIÓN INYECTABLE;25 AMPOLLAS por 15 MG/ 3 ML;HIPNOTICO         SEDANTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO INTERNACIONAL ARGENTINO S.A.;46908;OLEO LAX;PROPOFOL;200 MG/ 20 ML;EMULSIÓN INYECTABLE;25 AMP X 20 ML;ANESTESICO GENERAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO INTERNACIONAL ARGENTINO S.A.;48522;NOREPINEFRINA NORTHIA;NOREPINEFRINA;1 MG/ 1 ML;SOLUCIÓN INYECTABLE;25 AMP X 4 MG/ 4 ML;VASOCONSTRICTOR PERIFÉRICO [DE ACCIÓN ALFA-ADRENÉRGICA] Y COMO ESTIMULANTE INOTRÓPICO DEL CORAZÓN Y COMO DI-LATADOR DE LAS ARTERIAS CORONARIAS [ACCIÓN BETA-ADRENÉRGICA];VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO INTERNACIONAL ARGENTINO S.A.;57040;DUBERNARD;PROPOFOL;200 MG/ 20 ML;EMULSIÓN INYECTABLE;25  AMPOLLAS por 200 MG/ 20 ML;ANESTESICO GENERAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO LKM S.A.;59315;DOLUFEVIR 50;DOLUTEGRAVIR;50 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIRRETROVIRAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO INDUSTRIAL FARMACÉUTICO SOCIEDAD DEL ESTADO;59391;MISOPROSTOL LIF;MISOPROSTOL ;200 MCG;COMPRIMIDO VAGINAL;12 COMPRIMIDOS VAGINALES;AGENTE UTEROTÓNICO Y DE MADURACIÓN CERVICAL, ANÁLOGO SINTÉTICO DE LA PROSTAGLANDINA E1 (PGE1).;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO INDUSTRIAL FARMACÉUTICO SOCIEDAD DEL ESTADO;59391;MISOPROSTOL LIF;MISOPROSTOL ;200 MCG;COMPRIMIDO VAGINAL;120 COMPRIMIDOS VAGINALES;AGENTE UTEROTÓNICO Y DE MADURACIÓN CERVICAL, ANÁLOGO SINTÉTICO DE LA PROSTAGLANDINA E1 (PGE1).;VER PROSPECTO EN VADEMECUM ANMAT
BIOSIDUS SOCIEDAD ANONIMA;38777;HEMAX;ERITROPOYETINA HUMANA RECOMBINANTE;2000 UI/ML;SOLUCIÓN INYECTABLE;50 FRASCO AMPOLLA POR 2000 UI;ANTIANEMICO ESTIMULANTE DE LA ERITROPOYESIS;VER PROSPECTO EN VADEMECUM ANMAT
BIOSIDUS SOCIEDAD ANONIMA;38777;HEMAX;ERITROPOYETINA HUMANA RECOMBINANTE;4000 UI/ML;SOLUCIÓN INYECTABLE;50 FRASCO AMPOLLA POR 4000 UI;ANTIANEMICO ESTIMULANTE DE LA ERITROPOYESIS;VER PROSPECTO EN VADEMECUM ANMAT
KLONAL S.R.L.;57721;ANESTEX;FENTANILO CITRATO;0,05 MG / ML;SOLUCIÓN INYECTABLE;100 AMPOLLAS por 5 ML UHE;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
MEGALABS ARGENTINA S.A.U;58666;LAXIRUELA FORTE;EXTRACTO SECO DE HOJAS DE CASSIA ANGUSTIFOLIA;125 MG;COMPRIMIDOS RECUBIERTOS;24 COMPRIMIDOS RECUBIERTOS;LAXANTE;VER PROSPECTO EN VADEMECUM ANMAT
